scorer,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000
bodyparts,Fiber,Fiber,Fiber,Nose,Nose,Nose,Head,Head,Head,Spine,Spine,Spine,TB,TB,TB,LS,LS,LS,RS,RS,RS
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
34,246.6361694,83.06138611,0.948182762,210.171875,46.37739563,0.999998331,209.2088928,64.94886017,0.999989152,205.0295105,81.35095978,0.999995232,203.7097321,95.44934082,0.999997616,195.0077057,74.98127747,0.999998689,220.38414,78.41204071,0.999996543
35,247.2238617,83.16516876,0.986533999,213.2329407,49.83137512,0.999988198,209.2088928,69.46270752,0.999998808,204.6125183,83.5566864,0.999997258,202.3161163,98.05295563,0.999997377,194.8289948,76.13439178,0.999999642,220.0232391,82.8945694,0.99999392
36,255.1049194,98.61306,0.982188761,215.2163086,53.14777374,0.999939322,209.4095001,69.65454865,0.999997497,202.9002228,85.11775208,0.999997497,200.8951416,98.64902496,0.999999166,194.8289948,76.46879578,0.999999404,217.4348755,84.24938202,0.999989629
37,255.1049194,98.6710968,0.94846195,216.420166,57.44868088,0.998312712,209.4095001,70.1993103,0.999957561,202.6226349,85.13051605,0.999987006,200.0244293,99.48828125,0.999999404,194.7021179,77.25749207,0.999997258,217.0361786,84.27735901,0.999978065
38,255.1049194,102.4997253,0.896510065,216.4952087,61.37560654,0.99687469,209.6900787,72.66389465,0.999942183,201.4420319,85.19096375,0.999975801,199.5048981,99.92156982,0.999999523,194.263504,77.57982635,0.999991417,216.3839569,84.98392487,0.999977827
39,220.7516479,117.5787659,0.988399267,219.8901825,62.81195068,0.99998796,210.2776794,75.32350922,0.999994874,201.3359833,88.10626984,0.999983907,199.3878479,100.6028671,0.999997616,194.263504,78.34733582,0.999995112,214.1861572,88.87504578,0.99998498
40,220.7516479,119.9788284,0.989866197,227.7113495,68.3115387,0.999998569,212.7886047,78.78040314,0.999995589,198.1643372,88.10626984,0.999997854,193.8621826,100.6028671,0.999998808,194.263504,78.34733582,0.999988437,212.7506256,92.6796875,0.999998689
41,220.7516479,122.8933868,0.990024924,229.7892456,70.81828308,0.999991655,214.6625671,78.89565277,0.999988437,198.1643372,88.20869446,0.999998331,192.9524841,100.6028671,0.999999642,194.3317871,78.34733582,0.999996901,212.7506256,94.22492981,0.999997854
42,224.5613861,122.8933868,0.991573095,231.7578125,70.81828308,0.999994397,216.7385712,78.89565277,0.999981284,198.1643372,88.10626984,0.99999702,192.072403,99.68370056,0.999999762,194.5721436,76.51808929,0.999996662,212.7506256,94.22492981,0.999996781
43,233.2629242,119.9788284,0.9903965,232.6652222,70.81828308,0.999998808,217.2609406,78.78040314,0.999982834,198.7529907,87.79515839,0.999996066,191.4690552,99.46018982,0.999999762,194.841156,75.63848114,0.999991775,212.7764282,94.22492981,0.999996781
44,239.5914307,119.9788284,0.998601735,236.07341,68.43427277,0.999999166,218.5408936,76.80300903,0.999995232,199.9634399,87.39189148,0.999994159,190.9786224,99.23620605,0.999999881,194.8488464,75.08157349,0.999996066,215.2884979,92.56904602,0.999995112
45,243.4874573,119.3685837,0.995268643,236.07341,65.98565674,0.999997854,219.2923431,75.97473145,0.999994397,200.4130554,86.75844574,0.999992251,190.7270813,98.45594788,0.999999881,195.4653931,74.16434479,0.999994755,215.8259125,92.03857422,0.999994636
46,247.2510376,109.8767929,0.95864898,236.07341,64.66165161,0.999986053,219.2923431,74.72360229,0.999993086,200.8578644,86.33660126,0.99998951,190.7270813,98.43514252,0.999999881,195.7919159,73.23336792,0.999994159,216.5472412,91.29851532,0.999994159
47,247.2510376,107.154007,0.949617743,234.3667755,62.34981537,0.999749482,219.2923431,73.37314606,0.999990344,201.1275787,85.91692352,0.99998641,190.7270813,98.28556824,0.999999881,195.7919159,72.22005463,0.999991179,216.8063049,90.53382874,0.999994397
48,247.2510376,107.154007,0.904863954,232.437149,61.67242813,0.999929428,219.2458496,72.34107971,0.999983072,201.2491608,85.60498047,0.999985099,190.8263092,98.21984863,0.999999881,195.8183441,72.03819275,0.999986649,216.881485,90.16470337,0.99999404
49,246.8960419,103.5583954,0.967073798,231.7182617,61.67242813,0.999968529,219.211731,70.35658264,0.999996543,201.2789917,84.89357758,0.999989271,190.9181824,97.70087433,0.999999881,195.7919159,71.18584442,0.999984384,217.4178314,88.36489868,0.999987483
50,239.7101898,103.5583954,0.290352136,228.9706116,59.17765045,0.999997735,218.6343689,67.59092712,0.999994874,201.2789917,83.90272522,0.999990106,191.4131012,96.84309387,0.999999881,195.7919159,70.58846283,0.999977708,217.4178314,86.44003296,0.999981523
51,239.7101898,103.5583954,0.837063134,228.8994598,57.13815689,0.999997616,218.6343689,66.52698517,0.999990821,201.3140106,83.89311218,0.999993443,191.4441986,96.68470001,0.999999881,196.0075378,69.66816711,0.999979734,217.4178314,86.44003296,0.999991298
52,239.7101898,33.68314362,0.998734772,224.5793915,54.11262512,0.999867797,218.3615112,66.45578766,0.99999249,201.3560486,83.37865448,0.999977469,191.6187134,96.55379486,0.999999881,196.0304871,69.10270691,0.999990344,217.1099091,85.90301514,0.999971986
